card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,3,Tarec Saffiedine,/wiki/Tarec_Saffiedine,Scott Smith,/wiki/Scott_Smith_(fighter),"Decision (unanimous) (30â€“27, 30â€“27, 30â€“26)",,def.,05:00,Welterweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,3,Gesias Cavalcante,/wiki/Gesias_Cavalcante,Bobby Green,/wiki/Bobby_Green_(fighter),"Decision (split) (29â€“28, 29â€“28, 28â€“29)",,def.,05:00,Lightweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,1,Derek Brunson,/wiki/Derek_Brunson,Lumumba Sayers,/wiki/Lumumba_Sayers,Submission (rear-naked choke),,def.,04:33,Middleweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,3,Alexis Davis,/wiki/Alexis_Davis_(fighter),Julie Kedzie,/wiki/Julie_Kedzie,"Decision (unanimous) (30â€“27, 30â€“27, 29â€“28)",,def.,05:00,Women's Bantamweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,1,Tyler Stinson,/wiki/Tyler_Stinson,Eduardo Pamplona,,KO (punch),,def.,00:15,Welterweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,3,Gabriel Salinas-Jones,,Bryan Humes,,Submission (D'arce choke),,def.,01:19,Heavyweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,5,Luke Rockhold,/wiki/Luke_Rockhold,Ronaldo Souza,/wiki/Ronaldo_Souza,"Decision (unanimous) (50â€“45, 48â€“47, 48â€“47)",,def.,05:00,Middleweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,1,Josh Barnett,/wiki/Josh_Barnett,Sergei Kharitonov,/wiki/Sergei_Kharitonov,Submission (arm triangle choke),,def.,04:28,Heavyweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,1,Daniel Cormier,/wiki/Daniel_Cormier,AntÃ´nio Silva,/wiki/Ant%C3%B4nio_Silva_(fighter),KO (punches),,def.,03:56,Heavyweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,1,Muhammed Lawal,/wiki/Muhammed_Lawal,Roger Gracie,/wiki/Roger_Gracie,KO (punches),,def.,04:33,Light Heavyweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,2,Pat Healy,/wiki/Pat_Healy_(fighter),Maximo Blanco,/wiki/Maximo_Blanco,Submission (rear-naked choke),,def.,04:27,Lightweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,2,Rafael Cavalcante,/wiki/Rafael_Cavalcante,Yoel Romero,/wiki/Yoel_Romero,KO (punches),,def.,04:51,Light Heavyweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,3,Jordan Mein,/wiki/Jordan_Mein,Evangelista Santos,/wiki/Evangelista_Santos,TKO (elbows),,def.,03:18,Welterweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,3,Mike Kyle,/wiki/Mike_Kyle,Marcos RogÃ©rio de Lima,/wiki/Marcos_Rog%C3%A9rio_de_Lima,"Decision (unanimous) (29â€“28, 29â€“28, 30â€“27)",,def.,05:00,Light Heavyweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,2,Alexis Davis,/wiki/Alexis_Davis_(fighter),Amanda Nunes,/wiki/Amanda_Nunes,TKO (punches),,def.,04:53,Women's Bantamweight
,"Cincinnati, Ohio","September 10, 2011",Strikeforce: Barnett vs. Kharitonov,3,Dominique Steele,/wiki/Dominique_Steele,Chris Mierzwiak,,"Decision (unanimous) (29â€“28, 29â€“27, 29â€“27)",,def.,05:00,Middleweight
