city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
New Orleans,"September 22, 2000",Lightweight,2,Brad Gumm,vs.,,CJ Fernandes,,Draw,Ultimate Fighting Championship,5:00,Lakefront Arena
Atlantic City,"November 17, 2000",Heavyweight,3,Randy Couture,def.,/wiki/Randy_Couture,Kevin Randleman,/wiki/Kevin_Randleman,TKO (punches),Ultimate Fighting Championship,4:13,Trump Taj Mahal
Atlantic City,"November 17, 2000",Heavyweight,3,Renato Sobral,def.,/wiki/Renato_Sobral,Maurice Smith,/wiki/Maurice_Smith_(kickboxer),Decision (majority),Ultimate Fighting Championship,5:00,Trump Taj Mahal
Atlantic City,"November 17, 2000",Super Heavyweight,2,Josh Barnett,def.,/wiki/Josh_Barnett,Gan McGee,/wiki/Gan_McGee,TKO (punches),Ultimate Fighting Championship,4:34,Trump Taj Mahal
Atlantic City,"November 17, 2000",Heavyweight,1,Andrei Arlovski,def.,/wiki/Andrei_Arlovski,Aaron Brink,/wiki/Aaron_Brink,Submission (armbar),Ultimate Fighting Championship,0:55,Trump Taj Mahal
Atlantic City,"November 17, 2000",Lightweight,1,Jens Pulver,def.,/wiki/Jens_Pulver,,,KO (punch),Ultimate Fighting Championship,0:15,Trump Taj Mahal
Atlantic City,"November 17, 2000",Middleweight,2,Mark Hughes,def.,/wiki/Mark_Hughes_(fighter),Alex Stiebling,/wiki/Alex_Stiebling,Decision (unanimous),Ultimate Fighting Championship,5:00,Trump Taj Mahal
Atlantic City,"November 17, 2000",Lightweight,2,Ben Earwood,def.,,,/wiki/Chris_Lytle,Decision (unanimous),Ultimate Fighting Championship,5:00,Trump Taj Mahal
Tokyo,"December 16, 2000",Light Heavyweight,1,Tito Ortiz,def.,/wiki/Tito_Ortiz,Yuki Kondo,/wiki/Yuki_Kondo,Submission (cobra choke),Ultimate Fighting Championship,1:51,Differ Ariake Arena
Tokyo,"December 16, 2000",Welterweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,Kenichi Yamamoto,/wiki/Kenichi_Yamamoto_(mixed_martial_artist),Submission (guillotine choke),Ultimate Fighting Championship,1:57,Differ Ariake Arena
Tokyo,"December 16, 2000",Middleweight,1,Matt Lindland,def.,/wiki/Matt_Lindland,Yoji Anjo,/wiki/Yoji_Anjo,TKO (strikes),Ultimate Fighting Championship,2:57,Differ Ariake Arena
Tokyo,"December 16, 2000",Lightweight,1,Fabiano Iha,def.,/wiki/Fabiano_Iha,Daiju Takase,/wiki/Daiju_Takase,TKO (strikes),Ultimate Fighting Championship,2:25,Differ Ariake Arena
Tokyo,"December 16, 2000",Middleweight,1,Evan Tanner,def.,/wiki/Evan_Tanner,Lance Gibson,/wiki/Lance_Gibson,TKO (strikes),Ultimate Fighting Championship,4:58,Differ Ariake Arena
Tokyo,"December 16, 2000",Welterweight,1,Dennis Hallman,def.,/wiki/Dennis_Hallman,Matt Hughes,/wiki/Matt_Hughes_(fighter),Submission (armbar),Ultimate Fighting Championship,0:20,Differ Ariake Arena
Tokyo,"December 16, 2000",Light Heavyweight,3,Chuck Liddell,def.,/wiki/Chuck_Liddell,Jeff Monson,/wiki/Jeff_Monson,Decision (unanimous),Ultimate Fighting Championship,5:00,Differ Ariake Arena
Atlantic City,"February 23, 2001",Light Heavyweight,1,Tito Ortiz,def.,/wiki/Tito_Ortiz,Evan Tanner,/wiki/Evan_Tanner,KO (slam),Ultimate Fighting Championship,0:30,Trump Taj Mahal
Atlantic City,"February 23, 2001",Lightweight,5,Jens Pulver,def.,/wiki/Jens_Pulver,Caol Uno,/wiki/Caol_Uno,Decision (unanimous),Ultimate Fighting Championship,5:00,Trump Taj Mahal
Atlantic City,"February 23, 2001",Lightweight,1,Fabiano Iha,def.,/wiki/Fabiano_Iha,,,Submission (armbar),Ultimate Fighting Championship,2:05,Trump Taj Mahal
Atlantic City,"February 23, 2001",Light Heavyweight,1,Elvis Sinosic,def.,/wiki/Elvis_Sinosic,Jeremy Horn,/wiki/Jeremy_Horn,Submission (triangle armbar),Ultimate Fighting Championship,2:59,Trump Taj Mahal
Atlantic City,"February 23, 2001",Heavyweight,2,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Josh Barnett,/wiki/Josh_Barnett,KO (punches),Ultimate Fighting Championship,4:21,Trump Taj Mahal
Atlantic City,"February 23, 2001",Heavyweight,1,Bobby Hoffman,vs.,/wiki/Bobby_Hoffman,,,No Contest (overturned),Ultimate Fighting Championship,3:27,Trump Taj Mahal
Atlantic City,"February 23, 2001",Middleweight,2,Phil Baroni,def.,/wiki/Phil_Baroni,,,Decision (unanimous),Ultimate Fighting Championship,5:00,Trump Taj Mahal
Atlantic City,"February 23, 2001",Lightweight,2,Sean Sherk,def.,/wiki/Sean_Sherk,Tiki Ghosn,/wiki/Tiki_Ghosn,Verbal Submission (dislocated shoulder),Ultimate Fighting Championship,4:47,Trump Taj Mahal
Atlantic City,"May 4, 2001",Heavyweight,5,Randy Couture,def.,/wiki/Randy_Couture,Pedro Rizzo,/wiki/Pedro_Rizzo,Decision (unanimous),Ultimate Fighting Championship,5:00,Trump Taj Mahal
Atlantic City,"May 4, 2001",Welterweight,3,Carlos Newton,def.,/wiki/Carlos_Newton,Pat Miletich,/wiki/Pat_Miletich,Submission (bulldog choke),Ultimate Fighting Championship,2:50,Trump Taj Mahal
Atlantic City,"May 4, 2001",Light Heavyweight,1,Chuck Liddell,def.,/wiki/Chuck_Liddell,Kevin Randleman,/wiki/Kevin_Randleman,KO (punches),Ultimate Fighting Championship,1:18,Trump Taj Mahal
Atlantic City,"May 4, 2001",Welterweight,3,Shonie Carter,def.,/wiki/Shonie_Carter,Matt Serra,/wiki/Matt_Serra,KO (spinning back fist),Ultimate Fighting Championship,4:51,Trump Taj Mahal
Atlantic City,"May 4, 2001",Heavyweight,2,Semmy Schilt,def.,/wiki/Semmy_Schilt,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),TKO (kick to the body & punches),Ultimate Fighting Championship,1:26,Trump Taj Mahal
Atlantic City,"May 4, 2001",Light Heavyweight,3,Matt Lindland,def.,/wiki/Matt_Lindland,Ricardo Almeida,/wiki/Ricardo_Almeida,Disqualification,Ultimate Fighting Championship,4:21,Trump Taj Mahal
Atlantic City,"May 4, 2001",Lightweight,1,B.J. Penn,def.,/wiki/B.J._Penn,Joey Gilbert,/wiki/Joey_Gilbert,TKO (punches),Ultimate Fighting Championship,4:58,Trump Taj Mahal
Atlantic City,"May 4, 2001",Welterweight,3,Tony DeSouza,def.,/wiki/Tony_DeSouza,Steve Berger,/wiki/Steve_Berger,Decision (unanimous),Ultimate Fighting Championship,5:00,Trump Taj Mahal
"East Rutherford, New Jersey","June 29, 2001",Light Heavyweight,1,Tito Ortiz,def.,/wiki/Tito_Ortiz,Elvis Sinosic,/wiki/Elvis_Sinosic,TKO (punches and elbows),Ultimate Fighting Championship,3:32,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Lightweight,1,B.J. Penn,def.,/wiki/B.J._Penn,Din Thomas,/wiki/Din_Thomas,TKO (strikes),Ultimate Fighting Championship,2:42,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Heavyweight,1,Josh Barnett,def.,/wiki/Josh_Barnett,Semmy Schilt,/wiki/Semmy_Schilt,Submission (armbar),Ultimate Fighting Championship,4:21,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Welterweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,Shonie Carter,/wiki/Shonie_Carter,KO (head kick),Ultimate Fighting Championship,2:42,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Lightweight,1,Caol Uno,def.,/wiki/Caol_Uno,Fabiano Iha,/wiki/Fabiano_Iha,KO (punches),Ultimate Fighting Championship,1:48,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Light Heavyweight,3,Vladimir Matyushenko,def.,/wiki/Vladimir_Matyushenko,Yuki Kondo,/wiki/Yuki_Kondo,Unanimous decision,Ultimate Fighting Championship,5:00,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Heavyweight,3,Ricco Rodriguez,def.,/wiki/Ricco_Rodriguez,Andrei Arlovski,/wiki/Andrei_Arlovski,TKO (strikes),Ultimate Fighting Championship,1:23,Continental Airlines Arena
"East Rutherford, New Jersey","June 29, 2001",Lightweight,1,Tony DeSouza,def.,/wiki/Tony_DeSouza,,,Submission (choke),Ultimate Fighting Championship,1:05,Continental Airlines Arena
"Las Vegas, Nevada","September 28, 2001",Light Heavyweight,5,Tito Ortiz,def.,/wiki/Tito_Ortiz,Vladimir Matyushenko,/wiki/Vladimir_Matyushenko,"Decision (unanimous) (50–43, 50–44, 50–44)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","September 28, 2001",Lightweight,5,Jens Pulver,def.,/wiki/Jens_Pulver,Dennis Hallman,/wiki/Dennis_Hallman,"Decision (unanimous) (49–47, 48–47, 48–47)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","September 28, 2001",Middleweight,5,Dave Menne,def.,/wiki/Dave_Menne,Gil Castillo,/wiki/Gil_Castillo,"Decision (unanimous) (49–43, 49–44, 49–45)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","September 28, 2001",Light Heavyweight,3,Chuck Liddell,def.,/wiki/Chuck_Liddell,Murilo Bustamante,/wiki/Murilo_Bustamante,"Decision (unanimous) (29–28, 29–27, 29–27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
