city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
"Las Vegas, Nevada","April 23, 2016",Lightweight,3,Edson Barboza,def.,/wiki/Edson_Barboza,Anthony Pettis,/wiki/Anthony_Pettis,"Decision (unanimous) (29-28, 29-28, 30-27)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Middleweight,3,Robert Whittaker,def.,/wiki/Robert_Whittaker_(fighter),Rafael Natal,/wiki/Rafael_Natal,"Decision (unanimous) (29-28, 30-27, 30-27)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Featherweight,2,Yair Rodríguez,def.,/wiki/Yair_Rodr%C3%ADguez,Andre Fili,/wiki/Andre_Fili,KO (flying head kick),Ultimate Fighting Championship,2:15,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Flyweight,3,Sergio Pettis,def.,/wiki/Sergio_Pettis,Chris Kelades,/wiki/Chris_Kelades,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Welterweight,3,Danny Roberts,def.,/wiki/Danny_Roberts_(fighter),Dominique Steele,/wiki/Dominique_Steele,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Women's Strawweight,3,Carla Esparza,def.,/wiki/Carla_Esparza,Juliana Lima,/wiki/Juliana_Lima,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Lightweight,3,James Vick,def.,/wiki/James_Vick,,,"Decision (unanimous) (29-28, 29-28, 30-27)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Heavyweight,1,Walt Harris,def.,/wiki/Walt_Harris_(fighter),,,TKO (punches),Ultimate Fighting Championship,4:18,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Light Heavyweight,1,Marcos Rogério de Lima,def.,/wiki/Marcos_Rog%C3%A9rio_de_Lima,Clint Hester,/wiki/Clint_Hester,Submission (arm-triangle choke),Ultimate Fighting Championship,4:35,MGM Grand Garden Arena
"Las Vegas, Nevada","April 23, 2016",Lightweight,3,Kevin Lee,def.,/wiki/Kevin_Lee_(fighter),Efrain Escudero,/wiki/Efrain_Escudero,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
Rotterdam,"May 8, 2016",Heavyweight,2,Alistair Overeem,def.,/wiki/Alistair_Overeem,Andrei Arlovski,/wiki/Andrei_Arlovski,TKO (jump-front kick and punches),Ultimate Fighting Championship,1:12,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Heavyweight,1,Stefan Struve,def.,/wiki/Stefan_Struve,Antônio Silva,/wiki/Ant%C3%B4nio_Silva_(fighter),KO (elbows),Ultimate Fighting Championship,0:16,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Welterweight,2,Gunnar Nelson,def.,/wiki/Gunnar_Nelson_(fighter),Albert Tumenov,/wiki/Albert_Tumenov,Submission (rear-naked choke),Ultimate Fighting Championship,3:15,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Women's Bantamweight,1,Germaine de Randamie,def.,/wiki/Germaine_de_Randamie,,,TKO (knee to the body),Ultimate Fighting Championship,3:46,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Light Heavyweight,2,Nikita Krylov,def.,/wiki/Nikita_Krylov,Francimar Barroso,/wiki/Francimar_Barroso,Submission (rear-naked choke),Ultimate Fighting Championship,3:11,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Women's Strawweight,3,Karolina Kowalkiewicz,def.,/wiki/Karolina_Kowalkiewicz,Heather Jo Clark,/wiki/Heather_Jo_Clark,"Decision (unanimous) (29-28, 29-28, 30-27)",Ultimate Fighting Championship,5:00,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Lightweight,3,Rustam Khabilov,def.,/wiki/Rustam_Khabilov,Chris Wade,/wiki/Chris_Wade_(fighter),"Decision (unanimous) (30-27, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Middleweight,2,Magnus Cedenblad,def.,/wiki/Magnus_Cedenblad,Garreth McLellan,/wiki/Garreth_McLellan,TKO (head kick and punches),Ultimate Fighting Championship,0:47,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Lightweight,3,Josh Emmett,def.,,,/wiki/Jon_Tuck,"Decision (split) (29-28, 28-29, 29-28)",Ultimate Fighting Championship,5:00,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Lightweight,3,Reza Madadi,def.,/wiki/Reza_Madadi,Yan Cabral,/wiki/Yan_Cabral,TKO (punches),Ultimate Fighting Championship,1:56,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Flyweight,3,Kyoji Horiguchi,def.,/wiki/Kyoji_Horiguchi,Neil Seery,/wiki/Neil_Seery,"Decision (unanimous) (30-26, 30-27, 30-27)",Ultimate Fighting Championship,5:00,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Welterweight,3,Leon Edwards,def.,/wiki/Leon_Edwards,,,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,Ahoy Rotterdam
Rotterdam,"May 8, 2016",Flyweight,2,Ulka Sasaki,def.,/wiki/Ulka_Sasaki,Willie Gates,/wiki/Willie_Gates,Submission (rear-naked choke),Ultimate Fighting Championship,3:30,Ahoy Rotterdam
Curitiba,"May 14, 2016",Heavyweight,1,Stipe Miocic,def.,/wiki/Stipe_Miocic,Fabrício Werdum,/wiki/Fabr%C3%ADcio_Werdum,KO (punch),Ultimate Fighting Championship,2:47,Arena da Baixada
Curitiba,"May 14, 2016",Middleweight,1,Ronaldo Souza,def.,/wiki/Ronaldo_Souza,Vitor Belfort,/wiki/Vitor_Belfort,TKO (punches),Ultimate Fighting Championship,4:38,Arena da Baixada
Curitiba,"May 14, 2016",Catchweight (140 lbs),1,Cristiane Justino,def.,/wiki/Cristiane_Justino,Leslie Smith,/wiki/Leslie_Smith_(fighter),TKO (punches),Ultimate Fighting Championship,1:21,Arena da Baixada
Curitiba,"May 14, 2016",Light Heavyweight,3,Maurício Rua,def.,/wiki/Maur%C3%ADcio_Rua,Corey Anderson,/wiki/Corey_Anderson_(fighter),"Decision (split) (28-29, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Arena da Baixada
Curitiba,"May 14, 2016",Welterweight,3,Bryan Barberena,def.,/wiki/Bryan_Barberena,Warlley Alves,/wiki/Warlley_Alves,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Arena da Baixada
Curitiba,"May 14, 2016",Welterweight,3,Demian Maia,def.,/wiki/Demian_Maia,Matt Brown,/wiki/Matt_Brown_(fighter),Submission (rear-naked choke),Ultimate Fighting Championship,4:31,Arena da Baixada
Curitiba,"May 14, 2016",Middleweight,1,Thiago Santos,def.,/wiki/Thiago_Santos_(middleweight_fighter),Nate Marquardt,/wiki/Nate_Marquardt,KO (punches),Ultimate Fighting Championship,3:39,Arena da Baixada
Curitiba,"May 14, 2016",Lightweight,3,Francisco Trinaldo,def.,/wiki/Francisco_Trinaldo,Yancy Medeiros,/wiki/Yancy_Medeiros,"Decision (unanimous) (29-26, 30-27, 30-26)",Ultimate Fighting Championship,5:00,Arena da Baixada
Curitiba,"May 14, 2016",Bantamweight,3,John Lineker,def.,/wiki/John_Lineker,Rob Font,/wiki/Rob_Font,"Decision (unanimous) (30-27, 29-28, 30-26)",Ultimate Fighting Championship,5:00,Arena da Baixada
Curitiba,"May 14, 2016",Light Heavyweight,1,Antônio Rogério Nogueira,def.,/wiki/Ant%C3%B4nio_Rog%C3%A9rio_Nogueira,Patrick Cummins,/wiki/Patrick_Cummins_(fighter),TKO (punches),Ultimate Fighting Championship,4:52,Arena da Baixada
Curitiba,"May 14, 2016",Welterweight,3,Sérgio Moraes,vs.,/wiki/S%C3%A9rgio_Moraes,,,"Draw (split) (29-28, 28-29, 28-28)",Ultimate Fighting Championship,5:00,Arena da Baixada
Curitiba,"May 14, 2016",Featherweight,3,Renato Moicano,def.,/wiki/Renato_Moicano,Zubaira Tukhugov,/wiki/Zubaira_Tukhugov,"Decision (split) (28-29, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Arena da Baixada
Las Vegas,"May 29, 2016",Bantamweight,1,Cody Garbrandt,def.,/wiki/Cody_Garbrandt,Thomas Almeida,/wiki/Thomas_Almeida,KO (punches),Ultimate Fighting Championship,2:53,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Featherweight,3,Jeremy Stephens,def.,/wiki/Jeremy_Stephens,Renan Barão,/wiki/Renan_Bar%C3%A3o,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Welterweight,3,Rick Story,def.,/wiki/Rick_Story,Tarec Saffiedine,/wiki/Tarec_Saffiedine,"Decision (unanimous) (30-27, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Middleweight,3,Chris Camozzi,def.,/wiki/Chris_Camozzi,Vitor Miranda,/wiki/Vitor_Miranda,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Welterweight,3,Lorenz Larkin,def.,/wiki/Lorenz_Larkin,Jorge Masvidal,/wiki/Jorge_Masvidal,"Decision (split) (29-28, 28-29, 29-28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Lightweight,3,Paul Felder,def.,/wiki/Paul_Felder,Joshua Burkman,/wiki/Joshua_Burkman,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Women's Bantamweight,3,Sara McMann,def.,/wiki/Sara_McMann,Jessica Eye,/wiki/Jessica_Eye,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Lightweight,3,Abel Trujillo,def.,/wiki/Abel_Trujillo,,,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Middleweight,2,Jake Collier,def.,/wiki/Jake_Collier,,,TKO (knee and spinning back kick to the body),Ultimate Fighting Championship,1:06,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Lightweight,2,Erik Koch,def.,/wiki/Erik_Koch,Shane Campbell,/wiki/Shane_Campbell,Submission (rear-naked choke),Ultimate Fighting Championship,3:02,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Bantamweight,3,Bryan Caraway,def.,/wiki/Bryan_Caraway,Aljamain Sterling,/wiki/Aljamain_Sterling,"Decision (split) (29-28, 28-29, 29-28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
Las Vegas,"May 29, 2016",Heavyweight,2,Adam Milstead,def.,,Chris De La Rocha,,TKO (punches),Ultimate Fighting Championship,4:01,Mandalay Bay Events Center
[1],Ultimate Fighting Championship,Middleweight,1,Michael Bisping,def.,/wiki/Michael_Bisping,Luke Rockhold,/wiki/Luke_Rockhold,KO (punches),The Forum,3:36,"Inglewood, California"
[1],Ultimate Fighting Championship,Bantamweight,5,Dominick Cruz,def.,/wiki/Dominick_Cruz,Urijah Faber,/wiki/Urijah_Faber,"Decision (unanimous) (50-45, 50-45, 49-46)",The Forum,5:00,"Inglewood, California"
[1],Ultimate Fighting Championship,Featherweight,3,Max Holloway,def.,/wiki/Max_Holloway,Ricardo Lamas,/wiki/Ricardo_Lamas,"Decision (unanimous) (30-27, 30-27, 30-27)",The Forum,5:00,"Inglewood, California"
[1],Ultimate Fighting Championship,Middleweight,2,Dan Henderson,def.,/wiki/Dan_Henderson,Hector Lombard,/wiki/Hector_Lombard,KO (head kick and elbows),The Forum,1:27,"Inglewood, California"
[1],Ultimate Fighting Championship,Lightweight,1,Dustin Poirier,def.,/wiki/Dustin_Poirier,Bobby Green,/wiki/Bobby_Green_(fighter),KO (punches),The Forum,2:53,"Inglewood, California"
[1],Ultimate Fighting Championship,Featherweight,3,Brian Ortega,def.,/wiki/Brian_Ortega,Clay Guida,/wiki/Clay_Guida,KO (knee),The Forum,4:40,"Inglewood, California"
[1],Ultimate Fighting Championship,Lightweight,1,Beneil Dariush,def.,/wiki/Beneil_Dariush,James Vick,/wiki/James_Vick,KO (punch),The Forum,4:16,"Inglewood, California"
[1],Ultimate Fighting Championship,Women's Strawweight,2,Jéssica Andrade,def.,/wiki/J%C3%A9ssica_Andrade,Jessica Penne,/wiki/Jessica_Penne,TKO (punches),The Forum,2:56,"Inglewood, California"
[1],Ultimate Fighting Championship,Featherweight,3,Alex Caceres,def.,/wiki/Alex_Caceres,Cole Miller,/wiki/Cole_Miller,"Decision (unanimous) (30-27, 29-28, 29-28)",The Forum,5:00,"Inglewood, California"
[1],Ultimate Fighting Championship,Welterweight,3,Sean Strickland,def.,/wiki/Sean_Strickland,Tom Breese,/wiki/Tom_Breese,"Decision (split) (29-28, 28-29, 29-28)",The Forum,5:00,"Inglewood, California"
[1],Ultimate Fighting Championship,Light Heavyweight,2,Henrique da Silva,def.,,Jonathan Wilson,,TKO (punches),The Forum,4:11,"Inglewood, California"
[1],Ultimate Fighting Championship,Middleweight,3,Kevin Casey,vs.,/wiki/Kevin_Casey_(fighter),,,"Draw (split) (29-28, 28-29, 28-28)",The Forum,5:00,"Inglewood, California"
[1],Ultimate Fighting Championship,Lightweight,3,Marco Polo Reyes,def.,,Dong Hyun Kim,,KO (punches),The Forum,1:52,"Inglewood, California"
Ottawa,"June 18, 2016",Welterweight,5,Stephen Thompson,def.,/wiki/Stephen_Thompson_(fighter),Rory MacDonald,/wiki/Rory_MacDonald_(fighter),"Decision (unanimous) (50-45, 50-45, 48-47)",Ultimate Fighting Championship,5:00,TD Place Arena
Ottawa,"June 18, 2016",Welterweight,3,Donald Cerrone,def.,/wiki/Donald_Cerrone,Patrick Côté,/wiki/Patrick_C%C3%B4t%C3%A9_(fighter),TKO (punches),Ultimate Fighting Championship,2:35,TD Place Arena
Ottawa,"June 18, 2016",Light Heavyweight,3,Steve Bossé,def.,/wiki/Steve_Boss%C3%A9,Sean O'Connell,/wiki/Sean_O%27Connell_(fighter),"Decision (unanimous) (29-28, 29-28, 29-27)",Ultimate Fighting Championship,5:00,TD Place Arena
Ottawa,"June 18, 2016",Lightweight,3,Olivier Aubin-Mercier,def.,/wiki/Olivier_Aubin-Mercier,,,Submission (rear-naked choke),Ultimate Fighting Championship,2:28,TD Place Arena
Ottawa,"June 18, 2016",Women's Flyweight,3,Joanne Calderwood,def.,/wiki/Joanne_Calderwood,Valérie Létourneau,/wiki/Val%C3%A9rie_L%C3%A9tourneau,TKO (body kick and punches),Ultimate Fighting Championship,2:51,TD Place Arena
Ottawa,"June 18, 2016",Lightweight,3,Jason Saggo,def.,/wiki/Jason_Saggo,Leandro Silva,/wiki/Leandro_Silva_(MMA),"Decision (split) (28-29, 29-28, 29-28)",Ultimate Fighting Championship,5:00,TD Place Arena
Ottawa,"June 18, 2016",Light Heavyweight,3,Misha Cirkunov,def.,/wiki/Misha_Cirkunov,Ion Cutelaba,/wiki/Ion_Cutelaba,Submission (arm-triangle choke),Ultimate Fighting Championship,1:22,TD Place Arena
Ottawa,"June 18, 2016",Middleweight,1,Krzysztof Jotko,def.,/wiki/Krzysztof_Jotko,Tamdan McCrory,/wiki/Tamdan_McCrory,KO (punch),Ultimate Fighting Championship,0:59,TD Place Arena
Ottawa,"June 18, 2016",Bantamweight,3,Joe Soto,def.,/wiki/Joe_Soto,Chris Beal,/wiki/Chris_Beal,Submission (rear-naked choke),Ultimate Fighting Championship,3:39,TD Place Arena
Ottawa,"June 18, 2016",Middleweight,3,Elias Theodorou,def.,/wiki/Elias_Theodorou,Sam Alvey,/wiki/Sam_Alvey,"Decision (unanimous) (29-28, 30-27, 30-27)",Ultimate Fighting Championship,5:00,TD Place Arena
Ottawa,"June 18, 2016",Women's Catchweight (117.5 lbs),3,Randa Markos,def.,/wiki/Randa_Markos,Jocelyn Jones-Lybarger,/wiki/Jocelyn_Jones-Lybarger,"Decision (unanimous) (30-27, 29-28, 29-28)",Ultimate Fighting Championship,5:00,TD Place Arena
Ottawa,"June 18, 2016",Welterweight,3,Colby Covington,def.,/wiki/Colby_Covington,,,Submission (rear-naked choke),Ultimate Fighting Championship,0:54,TD Place Arena
Ottawa,"June 18, 2016",Flyweight,3,Ali Bagautinov,def.,/wiki/Ali_Bagautinov,Geane Herrera,/wiki/Geane_Herrera,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,TD Place Arena
Las Vegas,"July 7, 2016",Lightweight,1,Eddie Alvarez,def.,/wiki/Eddie_Alvarez,Rafael dos Anjos,/wiki/Rafael_dos_Anjos,TKO (punches),Ultimate Fighting Championship,3:49,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Heavyweight,3,Derrick Lewis,def.,/wiki/Derrick_Lewis_(fighter),Roy Nelson,/wiki/Roy_Nelson_(fighter),"Decision (split) (29-28, 28-29, 29-28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Welterweight,3,Alan Jouban,def.,/wiki/Alan_Jouban,Belal Muhammad,/wiki/Belal_Muhammad_(fighter),"Decision (unanimous) (28-27, 29-28, 29-27)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Lightweight,1,Joseph Duffy,def.,/wiki/Joseph_Duffy_(fighter),Mitch Clarke,/wiki/Mitch_Clarke,Submission (rear-naked choke),Ultimate Fighting Championship,0:25,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Welterweight,2,Alberto Mina,def.,/wiki/Alberto_Mina,Mike Pyle,/wiki/Mike_Pyle_(fighter),KO (flying knee and punches),Ultimate Fighting Championship,1:17,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Lightweight,3,John Makdessi,def.,/wiki/John_Makdessi,Mehdi Baghdad,/wiki/Mehdi_Baghdad,"Decision (split) (28-29, 29-28, 29-28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Bantamweight,3,Anthony Birchak,def.,/wiki/Anthony_Birchak,,,"Decision (split) (27-30, 29-28, 29-28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Bantamweight,1,Pedro Munhoz,def.,/wiki/Pedro_Munhoz,Russell Doane,/wiki/Russell_Doane,Submission (guillotine choke),Ultimate Fighting Championship,2:08,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Bantamweight,2,Felipe Arantes,def.,/wiki/Felipe_Arantes,Jerrod Sanders,/wiki/Jerrod_Sanders,Submission (armbar),Ultimate Fighting Championship,1:39,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Lightweight,1,Gilbert Burns,def.,/wiki/Gilbert_Burns_(fighter),,,Submission (armbar),Ultimate Fighting Championship,4:57,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Bantamweight,2,Marco Beltrán,def.,/wiki/Marco_Beltr%C3%A1n,,,Submission (rear-naked choke),Ultimate Fighting Championship,3:04,MGM Grand Garden Arena
Las Vegas,"July 7, 2016",Welterweight,2,Vicente Luque,def.,/wiki/Vicente_Luque,,,Submission (D'Arce choke),Ultimate Fighting Championship,3:52,MGM Grand Garden Arena
Frank Fertitta III,", ",Women's Strawweight,5,Joanna Jędrzejczyk,def.,/wiki/Joanna_J%C4%99drzejczyk,Cláudia Gadelha,/wiki/Cl%C3%A1udia_Gadelha,"Decision (unanimous) (48-46, 48-45, 48-46)",Reality,5:00,Sports
Frank Fertitta III,", ",Light Heavyweight,3,Andrew Sanchez,def.,/wiki/Andrew_Sanchez,,,"Decision (unanimous) (30-25, 30-25, 30-26)",Reality,5:00,Sports
Frank Fertitta III,", ",Women's Strawweight,1,Tatiana Suarez,def.,/wiki/Tatiana_Suarez,Amanda Cooper,/wiki/Amanda_Cooper,Submission (D'Arce choke),Reality,3:43,Sports
Frank Fertitta III,", ",Lightweight,3,Will Brooks,def.,/wiki/Will_Brooks,Ross Pearson,/wiki/Ross_Pearson,"Decision (unanimous) (29-28, 29-28, 29-28)",Reality,5:00,Sports
Frank Fertitta III,", ",Featherweight,1,Doo Ho Choi,def.,/wiki/Doo_Ho_Choi,Thiago Tavares,/wiki/Thiago_Tavares,KO (punches),Reality,2:42,Sports
Frank Fertitta III,", ",Lightweight,1,Joaquim Silva,def.,/wiki/Joaquim_Silva_(fighter),,,KO (punches),Reality,0:34,Sports
Frank Fertitta III,", ",Featherweight,3,Gray Maynard,def.,/wiki/Gray_Maynard,,,"Decision (unanimous) (30-27, 30-27, 30-27)",Reality,5:00,Sports
Frank Fertitta III,", ",Flyweight,3,Matheus Nicolau,def.,/wiki/Matheus_Nicolau,John Moraga,/wiki/John_Moraga,"Decision (split) (29-28, 28-29, 29-28)",Reality,5:00,Sports
Frank Fertitta III,", ",Light Heavyweight,3,Josh Stansbury,def.,,Cory Hendricks,,"Decision (majority) (29-27, 29-27, 28-28)",Reality,5:00,Sports
Frank Fertitta III,", ",Middleweight,3,Cezar Ferreira,def.,/wiki/Cezar_Ferreira,Anthony Smith,/wiki/Anthony_Smith_(fighter),"Decision (unanimous) (29-28, 29-28, 29-28)",Reality,5:00,Sports
Frank Fertitta III,", ",Lightweight,1,Kevin Lee,def.,/wiki/Kevin_Lee_(fighter),Jake Matthews,/wiki/Jake_Matthews_(fighter),TKO (punches),Reality,4:06,Sports
Frank Fertitta III,", ",Welterweight,1,Li Jingliang,def.,/wiki/Li_Jingliang,Anton Zafir,/wiki/Anton_Zafir,KO (punches),Reality,2:46,Sports
"Las Vegas, Nevada","July 9, 2016",Women's Bantamweight,1,Amanda Nunes,def.,/wiki/Amanda_Nunes,Miesha Tate,/wiki/Miesha_Tate,Submission (rear-naked choke),Ultimate Fighting Championship,3:16,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Heavyweight,3,Brock Lesnar,vs.,/wiki/Brock_Lesnar,Mark Hunt,/wiki/Mark_Hunt,No Contest (overturned),Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Light Heavyweight,3,Daniel Cormier,def.,/wiki/Daniel_Cormier,Anderson Silva,/wiki/Anderson_Silva,"Decision (unanimous) (30-26, 30-26, 30-26)",Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Featherweight,5,José Aldo,def.,/wiki/Jos%C3%A9_Aldo,Frankie Edgar,/wiki/Frankie_Edgar,"Decision (unanimous) (49-46, 49-46, 48-47)",Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Heavyweight,1,Cain Velasquez,def.,/wiki/Cain_Velasquez,Travis Browne,/wiki/Travis_Browne,TKO (punches),Ultimate Fighting Championship,4:57,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Women's Bantamweight,3,Julianna Peña,def.,/wiki/Julianna_Pe%C3%B1a,Cat Zingano,/wiki/Cat_Zingano,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Catchweight (171.25 lbs),3,Kelvin Gastelum,def.,/wiki/Kelvin_Gastelum,Johny Hendricks,/wiki/Johny_Hendricks,"Decision (unanimous) (29-28, 30-27, 30-27)",Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Bantamweight,3,T.J. Dillashaw,def.,/wiki/T.J._Dillashaw,Raphael Assunção,/wiki/Raphael_Assun%C3%A7%C3%A3o,"Decision (unanimous) (30-27, 30-27, 30-27)",Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Lightweight,3,Sage Northcutt,def.,/wiki/Sage_Northcutt,Enrique Marín,/wiki/Enrique_Mar%C3%ADn,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Lightweight,1,Joe Lauzon,def.,/wiki/Joe_Lauzon,Diego Sanchez,/wiki/Diego_Sanchez,TKO (punches),Ultimate Fighting Championship,1:26,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Middleweight,1,Gegard Mousasi,def.,/wiki/Gegard_Mousasi,Thiago Santos,/wiki/Thiago_Santos_(middleweight_fighter),TKO (punches),Ultimate Fighting Championship,4:32,T-Mobile Arena
"Las Vegas, Nevada","July 9, 2016",Lightweight,1,Jim Miller,def.,/wiki/Jim_Miller_(fighter),Takanori Gomi,/wiki/Takanori_Gomi,TKO (punches),Ultimate Fighting Championship,2:18,T-Mobile Arena
"Sioux Falls, South Dakota","July 13, 2016",Bantamweight,1,John Lineker,def.,/wiki/John_Lineker,Michael McDonald,/wiki/Michael_McDonald_(fighter),KO (punches),Ultimate Fighting Championship,2:43,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Lightweight,2,Tony Ferguson,def.,/wiki/Tony_Ferguson,Lando Vannata,/wiki/Lando_Vannata,Submission (D'Arce choke),Ultimate Fighting Championship,2:22,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Middleweight,2,Tim Boetsch,def.,/wiki/Tim_Boetsch,Josh Samman,/wiki/Josh_Samman,TKO (punches),Ultimate Fighting Championship,3:49,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Heavyweight,3,Daniel Omielańczuk,def.,/wiki/Daniel_Omiela%C5%84czuk,Oleksiy Oliynyk,/wiki/Oleksiy_Oliynyk,"Decision (majority) (28-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Welterweight,2,Keita Nakamura,def.,/wiki/Keita_Nakamura,Kyle Noke,/wiki/Kyle_Noke,Submission (rear-naked choke),Ultimate Fighting Championship,4:59,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Flyweight,2,Louis Smolka,def.,/wiki/Louis_Smolka,Ben Nguyen,/wiki/Ben_Nguyen,TKO (punches and elbows),Ultimate Fighting Championship,4:41,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Women's Bantamweight,3,Katlyn Chookagian,def.,,,/wiki/Lauren_Murphy,"Decision (unanimous) (29-28, 29-28, 29-28)",Ultimate Fighting Championship,5:00,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Middleweight,1,Sam Alvey,def.,/wiki/Sam_Alvey,,,Submission (guillotine choke),Ultimate Fighting Championship,2:43,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Women's Strawweight,1,Cortney Casey,def.,/wiki/Cortney_Casey,,,TKO (elbows),Ultimate Fighting Championship,2:36,Denny Sanford Premier Center
"Sioux Falls, South Dakota","July 13, 2016",Lightweight,3,Scott Holtzman,def.,/wiki/Scott_Holtzman,Cody Pfister,/wiki/Cody_Pfister,"Decision (unanimous) (30-27, 30-27, 29-28)",Ultimate Fighting Championship,5:00,Denny Sanford Premier Center
