city,date,event,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Middleweight,3,Tyrone Roberts,def.,,David Dodd,,Decision (unanimous),Ultimate Fighting Championship,05:00,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Lightweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,John Alessio,/wiki/John_Alessio,Submission (armbar),Ultimate Fighting Championship,01:43,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Middleweight,2,Amaury Bitetti,def.,/wiki/Amaury_Bitetti,Alex Andrade,/wiki/Alex_Andrade,Disqualification (kicking with shoes),Ultimate Fighting Championship,00:43,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Lightweight,1,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Marcelo Aguiar,/wiki/Marcelo_Aguiar,TKO (doctor stoppage),Ultimate Fighting Championship,04:34,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Bantamweight,3,Jens Pulver,def.,/wiki/Jens_Pulver,Joao Roque,/wiki/Joao_Roque,Decision (unanimous),Ultimate Fighting Championship,05:00,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Heavyweight,2,Ian Freeman,def.,/wiki/Ian_Freeman,,,Submission (punches),Ultimate Fighting Championship,02:13,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Lightweight,2,Shonie Carter,def.,/wiki/Shonie_Carter,Adrian Serrano,/wiki/Adrian_Serrano,Decision (unanimous),Ultimate Fighting Championship,05:00,Five Seasons Events Center
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Heavyweight,1,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Dan Severn,/wiki/Dan_Severn,Submission (punches),Ultimate Fighting Championship,01:33,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Heavyweight,3,Maurice Smith,def.,/wiki/Maurice_Smith_(kickboxer),Bobby Hoffman,/wiki/Bobby_Hoffman,Split decision,Ultimate Fighting Championship,05:00,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Middleweight,1,Jeremy Horn,def.,/wiki/Jeremy_Horn,,,Submission (armbar),Ultimate Fighting Championship,04:32,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Lightweight,1,Fabiano Iha,def.,/wiki/Fabiano_Iha,LaVerne Clark,/wiki/LaVerne_Clark,Submission (armbar),Ultimate Fighting Championship,01:10,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Middleweight,3,Yuki Kondo,def.,/wiki/Yuki_Kondo,Alexandre Dantas,/wiki/Alexandre_Dantas,TKO (strikes),Ultimate Fighting Championship,02:28,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Heavyweight,3,Ian Freeman,def.,/wiki/Ian_Freeman,Tedd Williams,/wiki/Tedd_Williams,Unanimous decision,Ultimate Fighting Championship,05:00,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Heavyweight,2,Jeff Monson,def.,/wiki/Jeff_Monson,Tim Lajcik,/wiki/Tim_Lajcik,Unanimous decision,Ultimate Fighting Championship,05:00,Lakefront Arena
New Orleans,"September 22, 2000",UFC 27: Ultimate Bad Boyz,Lightweight,2,Brad Gumm,vs.,,CJ Fernandes,,Draw,Ultimate Fighting Championship,05:00,Lakefront Arena
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Heavyweight,3,Randy Couture,def.,/wiki/Randy_Couture,Kevin Randleman,/wiki/Kevin_Randleman,TKO (punches),Ultimate Fighting Championship,04:13,Trump Taj Mahal
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Heavyweight,3,Renato Sobral,def.,/wiki/Renato_Sobral,Maurice Smith,/wiki/Maurice_Smith_(kickboxer),Decision (majority),Ultimate Fighting Championship,05:00,Trump Taj Mahal
Atlantic City,"November 17, 2000",UFC 28: High Stakes,Super Heavyweight,2,Josh Barnett,def.,/wiki/Josh_Barnett,Gan McGee,/wiki/Gan_McGee,TKO (punches),Ultimate Fighting Championship,04:34,Trump Taj Mahal
